"Name","Window","LearningRate","MaxDepth","MinChildWeight","Gamma","rmse_XGB","mae_XGB","Energy_Consumed"
"lively-sweep-397","3","0.1","7","4","1","5.985483448153379","4.5173888965237525","1.3589283483573428e-8"
"restful-sweep-332","3","0.1","1","3","1","7.520617318159885","5.993719432215536","1.5062191982148458e-8"
"silvery-sweep-72","3","0.01","7","3","0","41.31238150878024","40.57756289101877","1.7176027007003037e-8"
"glorious-sweep-417","3","1","1","4","1","6.46289805530226","4.942782257473853","9.839738869585644e-9"
"northern-sweep-297","3","0.01","5","4","1","41.29366833287845","40.55504750179168","1.7363401847079435e-8"
"sweepy-sweep-267","3","0.01","3","2","1","41.29366833287845","40.55504750179168","1.2996441776446472e-8"
"dashing-sweep-272","3","0.01","3","3","1","41.29366833287845","40.55504750179168","1.3201766645099472e-8"
"smooth-sweep-17","3","0.01","1","4","0","41.94999860038731","40.990067148713145","1.2876644747545166e-8"
"snowy-sweep-352","3","0.1","3","3","1","6.199085537179286","4.526532722325479","1.1528160242733064e-8"
"eager-sweep-382","3","0.1","7","1","1","7.6078345556880755","5.410063435806767","1.283773631080799e-8"
"summer-sweep-327","3","0.1","1","2","1","7.520617318159885","5.993719432215536","1.2847975373107249e-8"
"scarlet-sweep-477","3","1","7","4","1","7.495766974429619","5.261639620873236","1.5692194333622768e-8"
"expert-sweep-427","3","1","3","2","1","7.26051839774857","5.634129093490109","1.2939103027570632e-8"
"vibrant-sweep-337","3","0.1","1","4","1","7.520617318159885","5.993719432215536","1.4700519591946837e-8"
"warm-sweep-447","3","1","5","2","1","7.754665157288931","5.5680843858288185","9.63290981114066e-9"
"dutiful-sweep-402","3","1","1","1","1","6.553800547792757","5.065733198793474","1.3339450363471568e-8"
"young-sweep-407","3","1","1","2","1","6.553800547792757","5.065733198793474","1.2865381779015984e-8"
"deep-sweep-412","3","1","1","3","1","6.46289805530226","4.942782257473853","1.7125855601736677e-8"
"vibrant-sweep-437","3","1","3","4","1","7.025295754185989","5.153175688909716","1.2856166622946652e-8"
"deft-sweep-237","3","1","7","4","0","7.968835305666439","5.508334041669291","1.2798827874070817e-8"
"tough-sweep-182","3","1","3","1","0","7.601658640111559","5.936481196446573","1.6841381241445356e-8"
"lyric-sweep-262","3","0.01","3","1","1","41.29366833287845","40.55504750179168","1.4319328625510432e-8"
"confused-sweep-137","3","0.1","5","4","0","5.860691981021936","4.377556673308342","1.8212220111687808e-8"
"hearty-sweep-452","3","1","5","3","1","7.526959370886162","5.549744787597656","2.136421162074637e-8"
"lucky-sweep-217","3","1","5","4","0","7.43147360994351","5.449703513262348","1.2855142716716729e-8"
"fresh-sweep-392","3","0.1","7","3","1","6.086566675015623","4.619541939815398","1.6816206812361794e-8"
"sweet-sweep-12","3","0.01","1","3","0","41.94999860038731","40.990067148713145","1.7221078881119767e-8"
"classic-sweep-227","3","1","7","2","0","7.32296783766709","5.542960825864729","1.6102973278040937e-8"
"zesty-sweep-77","3","0.01","7","4","0","41.31238150878024","40.57756289101877","1.2887907716074347e-8"
"fearless-sweep-207","3","1","5","2","0","7.854171472300665","5.656475295725176","1.2932959590191078e-8"
"treasured-sweep-57","3","0.01","5","4","0","41.31238150878024","40.57756289101877","1.231514214876168e-8"
"rose-sweep-92","3","0.1","1","3","0","7.520617318159885","5.993719432215536","1.6890215158835215e-8"
"warm-sweep-287","3","0.01","5","2","1","41.29366833287845","40.55504750179168","2.1331038488041385e-8"
"floral-sweep-107","3","0.1","3","2","0","5.976775912420807","4.365725998810799","1.287869256000502e-8"
"generous-sweep-358","4","0.1","3","4","1","5.432439907066589","4.13296424718057","8.442106865737112e-9"
"noble-sweep-268","4","0.01","3","2","1","40.90303688659878","40.199657260722496","1.3000537401366173e-8"
"azure-sweep-428","4","1","3","2","1","7.193950839916894","5.299143271366241","1.3402932549726961e-8"
"charmed-sweep-188","4","1","3","2","0","7.161885963439689","5.28347147846837","5.837917327880859e-8"
"pleasant-sweep-63","4","0.01","7","1","0","40.89927438595572","40.194845143176664","1.7388999502827574e-8"
"snowy-sweep-163","4","1","1","1","0","6.399560738666356","4.727256397862588","1.2778349749472304e-8"
"fanciful-sweep-148","4","0.1","7","2","0","5.252856867089642","4.016633027107485","1.286845349770576e-8"
"helpful-sweep-48","4","0.01","5","2","0","40.89927438595572","40.194845143176664","1.286845349770576e-8"
"worthy-sweep-98","4","0.1","1","4","0","7.091201283575798","5.661279470529864","1.7219031068659915e-8"
"pious-sweep-88","4","0.1","1","2","0","7.091201283575798","5.661279470529864","1.1732175386087977e-8"
"eager-sweep-53","4","0.01","5","3","0","40.89927438595572","40.194845143176664","1.6685507222670522e-8"
