"Name","Window","Factor","Threshold","Init","rmse_TEDA_pond","rmse_TEDA_stack","rmse_TEDA_major","mae_TEDA_pond","mae_TEDA_stack","mae_TEDA_major","Energy_Consumed"
"unique-sweep-351","2","0.99","1.5","Yoshua","4.0542053586414255","4.281626042830252","4.0797698086378995","16.43658109003685","18.332321570642243","16.644521691473322","4.95212248103548e-8"
"dandy-sweep-326","2","0.99","1.5","Xavier","3.814884067776372","4.584304741874795","3.87228955351581","14.553340450574","21.015849966375733","14.99462638626767","4.76300700036821e-8"
"splendid-sweep-231","2","0.98","1.8","Xavier","3.7925636210157494","4.547173508906617","3.8604513972326138","14.383538819452092","20.676786920102113","14.903084990395236","4.3208842902863075e-8"
"kind-sweep-346","2","0.99","3","Xavier","3.858353393365799","3.8583533933658","3.8583533933658","14.886890908097378","14.88689090809738","14.88689090809738","2.7372085244602812e-8"
"stoic-sweep-186","2","0.75","2","zero","4.859497261221671","9.281238270103913","4.77133447296488","23.61471363182092","86.14138382644143","22.765632652903047","0"
"playful-sweep-381","2","0.99","1.8","zero","5.1395195642601115","11.971167728877038","5.023527404420515","26.414661351412448","143.30885679290702","25.23582758296392","3.683605052780574e-8"
"faithful-sweep-416","2","1","2.3","He","3.40423810713613","3.40423810713613","3.40423810713613","11.588837090077782","11.588837090077782","11.588837090077782","3.0038337067329245e-8"
"decent-sweep-251","2","0.98","1.5","Yoshua","4.0419043947173625","4.273955255535957","4.066474092342917","16.33699113603553","18.266693526323422","16.53621154369615","4.316174104512053e-8"
"azure-sweep-296","2","0.98","3","zero","4.989922151001403","4.989922151001404","4.989922151001404","24.89932307305447","24.89932307305448","24.89932307305448","2.9869392539391514e-8"
"revived-sweep-16","2","0.5","2.3","He","4.69427233872804","4.69427233872804","4.69427233872804","22.036192790147226","22.036192790147226","22.036192790147226","2.590380371088941e-8"
"honest-sweep-496","2","1","3","zero","5.013806125316869","5.013806125316869","5.013806125316869","25.138251862264948","25.138251862264948","25.138251862264948","3.462878684205053e-8"
"icy-sweep-371","2","0.99","3","Yoshua","4.066352855724516","4.066352855724516","4.066352855724516","16.53522554725893","16.53522554725893","16.53522554725893","2.5732811370491823e-8"
"clean-sweep-46","2","0.5","3","Xavier","4.8552948131613345","4.8552948131613345","4.8552948131613345","23.573887722711355","23.57388772271136","23.57388772271136","3.0040384879789094e-8"
"genial-sweep-391","2","0.99","2.3","zero","5.002325025034973","5.002325025034972","5.002325025034972","25.02325565609114","25.023255656091138","25.023255656091138","3.3728495119981335e-8"
"clear-sweep-161","2","0.75","2","Yoshua","3.8863422229400806","3.818575482111329","3.9259375181965086","15.103655873806844","14.58151871258177","15.412985396782965","4.6425956277289524e-8"
"driven-sweep-471","2","1","3","Yoshua","4.077754192752853","4.0777541927528524","4.0777541927528524","16.628079256513473","16.628079256513466","16.628079256513466","3.5475417455346465e-8"
"bright-sweep-216","2","0.98","2.3","He","3.38188833389082","3.38188833389082","3.38188833389082","11.437168702906826","11.437168702906826","11.437168702906826","3.058203127541977e-8"
"sparkling-sweep-297","3","0.98","3","zero","8.102322024718069","8.102322024718067","8.102322024718067","65.6476221922315","65.64762219223148","65.64762219223148","2.579219793182751e-8"
"sweepy-sweep-142","3","0.75","2.3","Xavier","6.670699764497766","6.6706997644977655","6.6706997644977655","44.49823534807055","44.498235348070544","44.498235348070544","3.4353077920235994e-8"
